customer_id,segment,tenure,contract_duration,internet_speed_mbps,monthly_charges,service_type,additional_services,monthly_usage_gb,downtime_minutes,customer_satisfaction,payment_method,complaint_count,payment_delay_days
1,Residential,43,Monthly,35.0,265000.0,Broadband,None,268.8516808206314,88.98013796161182,7,Credit_Card,4,1.0240450263390692
2,Residential,67,Monthly,50.0,331000.0,Broadband,None,18.447315246924777,97.12868241931626,9,Invoice,2,17.66743547062939
3,Government,55,1 Year,100.0,5066189.250617983,Special_Government,High_Security,67.33966408920517,103.30686518104076,6,Credit_Card,1,13.810106678683747
4,Residential,54,Monthly,35.0,265000.0,Broadband,None,75.52334010083653,93.12105322300845,6,Bank_Transfer,4,1.3943889003460845
5,Enterprise,46,Monthly,500.0,8000000.0,Managed_Office,Premium_Support,66.4673709731255,293.16155631391257,10,Bank_Transfer,0,0.29560080228852453
6,Residential,49,1 Year,50.0,297900.0,Broadband,Static_IP,263.14594202424473,34.34752665456517,9,Credit_Card,1,3.6049052399378394
7,Residential,54,2 Years,100.0,397800.0,Broadband,None,61.199640565218786,481.99998605894046,9,Direct_Debit,3,8.11190285248316
8,Residential,20,1 Year,50.0,297900.0,Broadband,IPTV,20.29305106469177,106.79675139285378,6,Bank_Transfer,1,2.480306599652069
9,Enterprise,9,Monthly,1000.0,8000000.0,Managed_Office,Premium_Support,84.09968441716062,286.1360560844205,7,Invoice,4,3.1086446708259876
10,Residential,64,2 Years,100.0,397800.0,Broadband,None,64.55244842694279,38.32657336860529,10,Direct_Debit,0,6.260931779198793
11,Corporate,31,Monthly,100.0,10000000.0,Metro_Ethernet,Premium_Support,135.4127363040232,104.9069887885923,10,Bank_Transfer,3,0.698613205487747
12,Enterprise,33,1 Year,1000.0,8000000.0,SD-WAN,Premium_Support,32.88736383726585,3.7451746413554288,8,Bank_Transfer,1,6.887319934436283
13,Government,67,Monthly,200.0,9929977.387162361,Special_Government,High_Security,101.3661654542302,59.8260319830937,7,Credit_Card,5,4.160881280979877
14,Residential,15,Monthly,100.0,442000.0,Broadband,None,161.3675194825234,77.22544879118657,7,Invoice,1,1.2958163605039235
15,Residential,34,Monthly,100.0,442000.0,Broadband,None,47.80331857267786,51.45671061668742,9,Invoice,1,1.3819975618327962
16,Corporate,7,Monthly,100.0,3000000.0,IP_VPN,Backup_Line,1415.9386904255975,124.94167596386936,9,Invoice,4,9.819936918306892
17,Residential,28,Monthly,35.0,265000.0,Broadband,None,99.0092975491403,9.655123900294786,9,Invoice,1,4.059686022690149
18,Enterprise,29,Monthly,2000.0,8000000.0,Managed_Office,Premium_Support,176.886401103016,469.88593570106286,7,Bank_Transfer,0,3.717175114209624
19,Residential,33,Monthly,50.0,331000.0,Broadband,None,85.04554776069367,402.29971870854916,10,Credit_Card,1,10.041627877897083
20,Residential,10,1 Year,35.0,238500.0,Broadband,IPTV,64.02155752862618,79.1255094644904,10,Credit_Card,3,2.8631194576231698
21,Corporate,32,Monthly,100.0,2000000.0,Clear_Channel,Backup_Line,175.1743453760083,559.7746599509715,6,Credit_Card,1,5.654365843570335
22,Residential,61,Monthly,35.0,265000.0,Broadband,None,340.81043813413885,94.72487165396076,9,Credit_Card,1,2.2177651107754626
23,Residential,47,1 Year,100.0,397800.0,Broadband,IPTV,570.8209509918651,79.8737811977186,8,Direct_Debit,1,5.507579988785843
24,Corporate,6,Monthly,200.0,3000000.0,IP_VPN,Backup_Line,223.40264106036986,21.919697567801556,8,Credit_Card,1,8.007576859451254
25,Residential,2,1 Year,35.0,238500.0,Broadband,None,52.921626762506854,0.9369019304933536,6,Bank_Transfer,3,8.456391132312552
26,Residential,28,Monthly,35.0,265000.0,Broadband,None,271.2720524272342,172.41678765384495,6,Bank_Transfer,3,0.7389383965857568
27,Corporate,55,1 Year,100.0,3000000.0,IP_VPN,Backup_Line,90.52875074022931,64.74946452225166,6,Bank_Transfer,1,13.560470387216538
